the,of,is,cause
pokemon/stat/speed,EJfVsAz8q5kd4PaUKegPknzkwdysBQvWDFk6Zpd3a2tG,90,
pokemon/type/0,EJfVsAz8q5kd4PaUKegPknzkwdysBQvWDFk6Zpd3a2tG,normal,
pokemon/name,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,croagunk,
pokemon/stat/attack,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,61,
pokemon/stat/defense,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,40,
pokemon/stat/hp,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,48,
pokemon/stat/special-attack,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,61,
pokemon/stat/special-defense,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,40,
pokemon/stat/speed,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,50,
pokemon/type/0,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,poison,
pokemon/type/1,EL9jufdP24mNUCk9srQ9P3do8HmSHv5W7bWLEk9VpLHM,fighting,
pokemon/name,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,spinarak,
pokemon/stat/attack,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,60,
pokemon/stat/defense,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,40,
pokemon/stat/hp,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,40,
pokemon/stat/special-attack,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,40,
pokemon/stat/special-defense,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,40,
pokemon/stat/speed,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,30,
pokemon/type/0,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,bug,
pokemon/type/1,ENMz5ai8UUoSBDHTMHuatteKzKUruAuAfvGHhx3peVyV,poison,
pokemon/name,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,pawmi,
pokemon/stat/attack,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,50,
pokemon/stat/defense,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,20,
pokemon/stat/hp,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,45,
pokemon/stat/special-attack,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,40,
pokemon/stat/special-defense,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,25,
pokemon/stat/speed,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,60,
pokemon/type/0,EQM6SoXvMd5JfrUAfwV1ewohXx9zsYzYGRZCrD2uNQ8i,electric,
pokemon/name,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,iron-hands,
pokemon/stat/attack,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,140,
pokemon/stat/defense,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,108,
pokemon/stat/hp,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,154,
pokemon/stat/special-attack,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,50,
pokemon/stat/special-defense,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,68,
pokemon/stat/speed,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,50,
pokemon/type/0,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,fighting,
pokemon/type/1,EQt6v4SJMG3gbzTpdSyxYAmSaR37njtjPLdetkSnuHWB,electric,
pokemon/name,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,ferroseed,
pokemon/stat/attack,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,50,
pokemon/stat/defense,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,91,
pokemon/stat/hp,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,44,
pokemon/stat/special-attack,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,24,
pokemon/stat/special-defense,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,86,
pokemon/stat/speed,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,10,
pokemon/type/0,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,grass,
pokemon/type/1,ER7EWMfKxN2Fo7ssg7Xsu8kXJL9Ro5RbCHonWY4QbbfU,steel,
pokemon/name,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,zygarde-complete,
pokemon/stat/attack,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,100,
pokemon/stat/defense,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,121,
pokemon/stat/hp,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,216,
pokemon/stat/special-attack,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,91,
pokemon/stat/special-defense,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,95,
pokemon/stat/speed,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,85,
pokemon/type/0,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,dragon,
pokemon/type/1,ER7Nhc1Vfuu5K2sRXdNKtDv3Eo7V1ERF2Xa7W9hbyH6b,ground,
pokemon/name,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,carvanha,
pokemon/stat/attack,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,90,
pokemon/stat/defense,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,20,
pokemon/stat/hp,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,45,
pokemon/stat/special-attack,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,65,
pokemon/stat/special-defense,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,20,
pokemon/stat/speed,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,65,
pokemon/type/0,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,water,
pokemon/type/1,ER9x4F4bkaFJzfAZoGM7hTAsfGYePWkTt14t9suxeZut,dark,
pokemon/name,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,squirtle,
pokemon/stat/attack,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,48,
pokemon/stat/defense,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,65,
pokemon/stat/hp,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,44,
pokemon/stat/special-attack,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,50,
pokemon/stat/special-defense,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,64,
pokemon/stat/speed,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,43,
pokemon/type/0,ERNcfQ9nE7mQ6VGmzxsDihAqAkpbrc1TwygfeUY7TqZ3,water,
pokemon/name,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,raboot,
pokemon/stat/attack,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,86,
pokemon/stat/defense,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,60,
pokemon/stat/hp,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,65,
pokemon/stat/special-attack,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,55,
pokemon/stat/special-defense,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,60,
pokemon/stat/speed,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,94,
pokemon/type/0,ERbh8YmPdBecyfDgQgbw2J2gz39JCaFg4NyrcVyzTo57,fire,
pokemon/name,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,dugtrio,
pokemon/stat/attack,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,100,
pokemon/stat/defense,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,50,
pokemon/stat/hp,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,35,
pokemon/stat/special-attack,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,50,
pokemon/stat/special-defense,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,70,
pokemon/stat/speed,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,120,
pokemon/type/0,ERftMxk5AQvxocWTRJeMjbPkkB4WHhBhVGjC62iTthuw,ground,
pokemon/name,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,swampert,
pokemon/stat/attack,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,110,
pokemon/stat/defense,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,90,
pokemon/stat/hp,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,100,
pokemon/stat/special-attack,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,85,
pokemon/stat/special-defense,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,90,
pokemon/stat/speed,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,60,
pokemon/type/0,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,water,
pokemon/type/1,ETDdD3crZTfNf4zsHBkfmQRfeqbXUMjqhPkv517h4u8Z,ground,
pokemon/name,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,wailmer,
pokemon/stat/attack,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,70,
pokemon/stat/defense,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,35,
pokemon/stat/hp,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,130,
pokemon/stat/special-attack,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,70,
pokemon/stat/special-defense,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,35,
pokemon/stat/speed,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,60,
pokemon/type/0,ETp62PFGkpgWVwFxvbGyBnkTwrao1hNk8rAzxcoBsf7j,water,
pokemon/name,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,corsola,
pokemon/stat/attack,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,55,
pokemon/stat/defense,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,95,
pokemon/stat/hp,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,65,
pokemon/stat/special-attack,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,65,
pokemon/stat/special-defense,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,95,
pokemon/stat/speed,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,35,
pokemon/type/0,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,water,
pokemon/type/1,EU9AVDBSzwHrSzxR8gXXZjwjTYj1qeTgKZsUSXsN43yo,rock,
pokemon/name,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,darumaka,
pokemon/stat/attack,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,90,
pokemon/stat/defense,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,45,
pokemon/stat/hp,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,70,
pokemon/stat/special-attack,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,15,
pokemon/stat/special-defense,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,45,
pokemon/stat/speed,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,50,
pokemon/type/0,EWCUiSP1awupfyCj5afAnGM6KPv9PNox2GLFMyZ1MjNa,fire,
pokemon/name,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,watchog,
pokemon/stat/attack,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,85,
pokemon/stat/defense,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,69,
pokemon/stat/hp,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,60,
pokemon/stat/special-attack,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,60,
pokemon/stat/special-defense,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,69,
pokemon/stat/speed,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,77,
pokemon/type/0,EWYaJsVDs9qJjNyizjVHYnGwg74KfLe5Ms5hTXjGTjv2,normal,
pokemon/name,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,munkidori,
pokemon/stat/attack,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,75,
pokemon/stat/defense,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,66,
pokemon/stat/hp,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,88,
pokemon/stat/special-attack,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,130,
pokemon/stat/special-defense,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,90,
pokemon/stat/speed,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,106,
pokemon/type/0,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,poison,
pokemon/type/1,EWYiNTmBCreUCCBsVpmYJTUgAwpVC7MhSTrqVXfedUrP,psychic,
pokemon/name,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,cottonee,
pokemon/stat/attack,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,27,
pokemon/stat/defense,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,60,
pokemon/stat/hp,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,40,
pokemon/stat/special-attack,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,37,
pokemon/stat/special-defense,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,50,
pokemon/stat/speed,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,66,
pokemon/type/0,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,grass,
pokemon/type/1,EX8pEuGD5NojeDrXsq3qREipBP5EaQbeA2Mcjxcmf8BF,fairy,
pokemon/name,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,articuno,
pokemon/stat/attack,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,85,
pokemon/stat/defense,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,100,
pokemon/stat/hp,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,90,
pokemon/stat/special-attack,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,95,
pokemon/stat/special-defense,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,125,
pokemon/stat/speed,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,85,
pokemon/type/0,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,ice,
pokemon/type/1,EXSNHykig3FazhBAU3o8LdsveK4rtd1149vwHkRiLA2Y,flying,
pokemon/name,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,alakazam,
pokemon/stat/attack,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,50,
pokemon/stat/defense,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,45,
pokemon/stat/hp,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,55,
pokemon/stat/special-attack,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,135,
pokemon/stat/special-defense,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,95,
pokemon/stat/speed,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,120,
pokemon/type/0,EXhWtbFnyT3PRmG5vNCu2UAJD46v3ksFCGY3CCEbcfE6,psychic,
pokemon/name,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,skrelp,
pokemon/stat/attack,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,60,
pokemon/stat/defense,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,60,
pokemon/stat/hp,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,50,
pokemon/stat/special-attack,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,60,
pokemon/stat/special-defense,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,60,
pokemon/stat/speed,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,30,
pokemon/type/0,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,poison,
pokemon/type/1,EYb8TonzzZwVPX6zFuMFVyHFrmr4zcp6DENjwB8H23KA,water,
pokemon/name,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,orbeetle,
pokemon/stat/attack,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,45,
pokemon/stat/defense,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,110,
pokemon/stat/hp,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,60,
pokemon/stat/special-attack,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,80,
pokemon/stat/special-defense,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,120,
pokemon/stat/speed,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,90,
pokemon/type/0,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,bug,
pokemon/type/1,Ea5d89J68EHHS522Jh2NDK8yomoJBU9tdwX1akbAv1eL,psychic,
pokemon/name,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,wormadam-plant,
pokemon/stat/attack,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,59,
pokemon/stat/defense,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,85,
pokemon/stat/hp,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,60,
pokemon/stat/special-attack,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,79,
pokemon/stat/special-defense,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,105,
pokemon/stat/speed,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,36,
pokemon/type/0,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,bug,
pokemon/type/1,Eadi8BGsY73Bo9s7KLjcMHc3BTGZo77obSq13iHa5taZ,grass,
pokemon/name,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,aerodactyl,
pokemon/stat/attack,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,105,
pokemon/stat/defense,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,65,
pokemon/stat/hp,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,80,
pokemon/stat/special-attack,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,60,
pokemon/stat/special-defense,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,75,
pokemon/stat/speed,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,130,
pokemon/type/0,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,rock,
pokemon/type/1,Eb6AFiKzmHSudgGCZXUNcR2wdktdknuYn4F7qjuThHaw,flying,
pokemon/name,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,noibat,
pokemon/stat/attack,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,30,
pokemon/stat/defense,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,35,
pokemon/stat/hp,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,40,
pokemon/stat/special-attack,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,45,
pokemon/stat/special-defense,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,40,
pokemon/stat/speed,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,55,
pokemon/type/0,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,flying,
pokemon/type/1,EbQujBYkKuWiee7v4LshtDRagAT2WGh54sjSF7Pyh3X1,dragon,
pokemon/name,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,okidogi,
pokemon/stat/attack,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,128,
pokemon/stat/defense,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,115,
pokemon/stat/hp,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,88,
pokemon/stat/special-attack,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,58,
pokemon/stat/special-defense,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,86,
pokemon/stat/speed,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,80,
pokemon/type/0,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,poison,
pokemon/type/1,EcMKGq9k77bQHdkCPgEDu1Dv9PLZPj15S7P3aroZpZtM,fighting,
pokemon/name,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,mawile-mega,
pokemon/stat/attack,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,105,
pokemon/stat/defense,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,125,
pokemon/stat/hp,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,50,
pokemon/stat/special-attack,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,55,
pokemon/stat/special-defense,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,95,
pokemon/stat/speed,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,50,
pokemon/type/0,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,steel,
pokemon/type/1,Eerr4ampAzS4L4Bo2wA6hkuEB3qMK8WhWExks8kUbFQj,fairy,
pokemon/name,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,forretress,
pokemon/stat/attack,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,90,
pokemon/stat/defense,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,140,
pokemon/stat/hp,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,75,
pokemon/stat/special-attack,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,60,
pokemon/stat/special-defense,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,60,
pokemon/stat/speed,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,40,
pokemon/type/0,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,bug,
pokemon/type/1,EesjYdj96QerbyUbtMeYz6Dk41xJj9u7DPCYbL4v39JL,steel,
pokemon/name,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,mr-mime-galar,
pokemon/stat/attack,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,65,
pokemon/stat/defense,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,65,
pokemon/stat/hp,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,50,
pokemon/stat/special-attack,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,90,
pokemon/stat/special-defense,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,90,
pokemon/stat/speed,EfyFiHwN7gaJAmSvyLYLZE7YjvC6oKwkTfbhpUjPmMEg,100,
